,yelpid,name,lat,lng,distance miles,price rating,price value,review count,review rating,type,address1,city,state,zip
94,VRwT0pscR5vESCrAnUpNwQ,Wilbur Mexicana,43.64494,-79.39866,2060.941715297448,$$,2,490,4.0,Mexican,552 King Street W,Toronto,ON,M5V 1M3
95,u3YZWL5IF1SOVSZ0f0-2mw,Greedy Duck,43.65775,-79.40239,820.48321405525,NO $,0,3,4.5,Chinese,316 College Street,Toronto,ON,M5T 1S3
96,q5xrVJ4kivx_yEfJeOKNYQ,Bar Isabel,43.65463,-79.42075,2234.4548961374326,$$$,3,387,4.0,Spanish,797 College Street,Toronto,ON,M6G 1C6
97,jrkzgoLCvk_IRw5e-3Zyrw,32 Chicken St.,43.6564,-79.40651,1160.0506310661535,NO $,0,10,4.5,Korean,409 College Street,Toronto,ON,M5T 1T1
98,BYDs_o6U4CLxJec8k1Q90Q,Poke Guys,43.65484,-79.38517,1265.5565656957456,$$,2,326,4.0,Hawaiian,112 Elizabeth Street,Toronto,ON,M5G 1P5
99,MMGnDeqMUNQsLC5V6BINjQ,Mr.Tonkatsu,43.66541,-79.41074,1235.8698547332244,$$,2,175,4.0,Japanese,520 Bloor Street W,Toronto,ON,M5S 1Y3
100,iJCI80Nwp514xIqBOgjhCA,Fat Pasha,43.67387,-79.41171,1745.836311334042,$$$,3,169,4.0,Middle Eastern,414 Dupont Street,Toronto,ON,M5R 1V9
101,HoNf-r8TzlSG05gbgpNiug,Torch Pressed Sushi,43.6659093206019,-79.3808230385184,1232.2953635741208,NO $,0,1,4.0,Japanese,507 Church St,Toronto,ON,M4Y 2C9
102,1PJpo48hSChCbriXEHGSjw,Opus Restaurant,43.66921,-79.3972299,670.5672344723048,$$$$,4,57,4.0,Wine Bars,37 Prince Arthur Avenue,Toronto,ON,M5R 1B2
103,7qHU_Zh5qEJP3DaaBHqWBg,Saigon Lotus,43.65449,-79.39928,1028.2983244734723,$$,2,148,4.5,Vietnamese,6 St Andrew Street,Toronto,ON,M5T 1K6
104,zrYpLdnGKA_EmOhgRCy_vg,Pomegranate Restaurant,43.6569,-79.40694,1155.7120494986739,$$,2,175,4.0,Middle Eastern,420 College Street,Toronto,ON,M5T 1T3
105,RvYjKtzdIPA2VBUpJJbzCw,Tokyo Kitchen,43.66908,-79.38509,1064.9312462940063,$$,2,119,4.0,Japanese,20 Charles Street E,Toronto,ON,M4Y 1T1
106,O1TvPrgkK2bUo5O5aSZ7lw,Rol San,43.6543527996563,-79.3983133882284,1014.2084170596735,$$,2,666,3.5,Dim Sum,323 Spadina Avenue,Toronto,ON,M5T 2E9
107,tHlJKmUECTlj2amcGG0TOQ,Bobbie Sue's Mac & Cheese,43.6478899,-79.42041,2624.6828890179263,$,1,102,4.0,Comfort Food,162 Ossington Avenue,Toronto,ON,M6J 2Z7
108,a1TTRvtMCDoxalOU6mUycg,Cabano's Comfort Food,43.66767,-79.38642,886.3890571209445,NO $,0,23,4.5,Comfort Food,75 Saint Nicholas Street,Toronto,ON,M4Y 0A5
109,L_tieGcFMQVSmk7XiA093A,Chine Hot Pot & Noodles,43.6545068365465,-79.3984092772007,999.1090085797255,$$,2,164,4.0,Chinese,327 Spadina Avenue,Toronto,ON,M5T 2E9
