,Name,Compound Score,Negative Score,Neutral Score,Postive Score
352,Blaze Fast-Fire'd Pizza,0.4649311,0.027504306,0.797847847,0.174642105
353,Cafe Landwer,0.465002195,0.02748855,0.797860687,0.174645038
354,Lai Wah Heen,0.464093911,0.027410086,0.798331113,0.174253092
355,Bitondo's Pizzeria,0.463978937,0.027500949,0.79820019,0.174293169
356,FIKA,0.464317975,0.027422895,0.798137181,0.174434248
357,The Host,0.463779245,0.027345283,0.798488679,0.174160377
358,Duke's Refresher + Bar,0.463436689,0.027473189,0.798464722,0.174056444
359,Earls Kitchen + Bar,0.464454784,0.027448405,0.798177298,0.174368668
360,WVRST Union Station,0.464524883,0.027371375,0.798333957,0.174289055
361,Gordo EX Cafe,0.463218563,0.0275,0.798454291,0.174040112
362,Imm Thai Kitchen,0.463636465,0.027423256,0.798545116,0.174026047
363,Indian Grill,0.463393135,0.027346939,0.79885436,0.173793135
364,Ramen Isshin,0.462035708,0.027357077,0.799250694,0.173386679
365,STK Toronto,0.459273247,0.027804428,0.799245387,0.172944649
366,El Furniture Warehouse - Bloor St,0.459159614,0.027842686,0.799208832,0.172943882
367,Crepe TO,0.46021422,0.027766055,0.798744954,0.173484404
368,Sushi On Bloor,0.461399268,0.027722781,0.798150046,0.174122598
369,Kensington Sushi Market,0.462054288,0.027701642,0.798024635,0.174269161
370,Cookie Martinez,0.461866151,0.027626024,0.798298453,0.174070974
371,Dim Sum King Seafood Restaurant,0.460896552,0.027672414,0.798560799,0.17376225
372,Salus Fresh Foods,0.460562805,0.027646154,0.798742986,0.173606335
373,Höm Cafe,0.46158944,0.0275713,0.798429603,0.173994585
374,AAamazing Salad,0.461124212,0.027632763,0.798441944,0.173920792
375,Kim Vietnamese Restaurant,0.46078079,0.027641831,0.798615799,0.173737882
376,Restaurant La Banane,0.461584781,0.027607878,0.798501343,0.173886303
377,Bannock,0.460879375,0.027651786,0.798648214,0.173695536
378,Kiin,0.461892965,0.027615316,0.798398041,0.173982191
379,Poop Cafe,0.462400533,0.027650089,0.798277975,0.174068384
380,Harbord House,0.463123118,0.027576616,0.798235607,0.174184234
381,Omg Oh My Gyro,0.463670318,0.027503534,0.797844523,0.17464841
382,ChiChop,0.46358,0.027430837,0.798035242,0.174530396
383,Parka Food Co,0.463907293,0.027433216,0.797986819,0.17457645
384,Drake One Fifty,0.462985539,0.027422436,0.798318142,0.174255916
385,Coffee Oysters Champagne,0.463606643,0.027388112,0.798211538,0.174396853
386,Nando's,0.462362511,0.027484743,0.798386225,0.174125545
387,Momofuku Noodle Bar,0.461583826,0.027553043,0.798513913,0.173929565
388,Early Bird Coffee & Kitchen,0.461731917,0.027546401,0.798529922,0.173919341
389,Matahari Grill,0.460936073,0.027632353,0.7986609,0.173702422
390,AMA,0.460459275,0.027781708,0.798548749,0.173665229
391,Flock Rotisserie + Greens,0.46102074,0.027709983,0.798402754,0.17388296
392,Arepa Café,0.461364549,0.027638627,0.798477253,0.173879828
393,Hogtown Pub & Oysters,0.462340839,0.027567637,0.798331336,0.174096747
394,Darvish Restaurant,0.463101964,0.027497011,0.798216909,0.17428181
395,Hokkaido Ramen Santouka,0.462746763,0.027486371,0.798353492,0.174155877
396,Pi,0.46258836,0.027416313,0.79859898,0.173980459
397,Roti Cuisine of India,0.462287712,0.02734661,0.798927119,0.173722034
398,Harlem Underground,0.463176247,0.027277261,0.798841927,0.173876585
399,Fancy Franks,0.463367875,0.027208263,0.798913997,0.173873524
400,The Fresh Italian Eatery,0.462787132,0.027139613,0.799252313,0.173603869
401,Osgoode Hall Restaurant,0.462968792,0.027182047,0.799165268,0.17364849
402,Atlas,0.46317272,0.027157322,0.799223431,0.173615063
403,Corner By Spoon And Fork,0.462813856,0.027298831,0.79895409,0.173742905
404,Gdous Juicy Chicken House,0.462120233,0.02734055,0.799170691,0.173484596
405,Hua Jia Rice Noodle,0.462731728,0.027272425,0.799173588,0.173549834
406,King's Noodle Restaurant,0.463226015,0.02720464,0.799143331,0.173647887
407,Big Trouble Pizza,0.464126198,0.027187603,0.798902479,0.173906612
408,Schnitzel Queen,0.465006843,0.027154163,0.798525144,0.174317395
409,The Vegan Extremist,0.465314309,0.027087171,0.798478618,0.174430921
410,Dang Good BBQ,0.4654553,0.027064914,0.798546426,0.174385374
411,Woods Restaurant & Bar,0.466584262,0.026998361,0.79807541,0.174922951
412,Gandhi Cuisine,0.466222649,0.026932134,0.798395748,0.174668847
